field_path,card_source,classification,target_table,batch,status,note
_frame_id,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
_projection_note,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
_projection_of,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
_view,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
ambient_stage,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
ambient_stage.奶茶店门口,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
ambient_stage.暗处,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
ambient_stage.校门,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
ambient_stage.路边,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
autonomous_decisions,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
autonomous_decisions[],free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
autonomous_decisions[].actor_cons,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].after_must_happen,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].after_must_happen[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].decision_id,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress.alternative,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress.alternative[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress.defer,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress.defer[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress.leave,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].outcome_branch_progress.leave[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].requires_branch_progress,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].requires_branch_progress[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].situation,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].valid_outcomes,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
autonomous_decisions[].valid_outcomes[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
blurb,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
branch_points,free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
branch_points[],free_stage_card_16zhong_gate.json,Storylet,node_contracts,D,registered,
branch_points[].id,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
branch_points[].keywords,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
branch_points[].keywords.negative,free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
branch_points[].keywords.negative[],free_stage_card_16zhong_gate.json,Unclassified,TBD,?,registered,
